1,Aristides Aquino,56,225,19,31,47,7,7.10%,26.70%,0.259,0.316,0.576,0.360,119
2,Jesse Winker,113,384,16,51,38,0,9.90%,15.60%,0.269,0.357,0.473,0.351,113
3,Nick Senzel,104,414,12,55,42,14,7.20%,24.40%,0.256,0.315,0.427,0.315,90
4,Yasiel Puig,100,404,22,51,61,14,5.70%,22.00%,0.252,0.302,0.475,0.322,95
5,Phillip Ervin,94,260,7,30,23,4,6.90%,24.20%,0.271,0.331,0.466,0.334,102
6,Josh VanMeter,95,260,8,33,23,9,11.20%,21.50%,0.237,0.327,0.408,0.316,91
7,Scott Schebler,30,95,2,11,7,0,14.70%,28.40%,0.123,0.253,0.222,0.223,30
