3,Derek,Dietrich,113,306,19,41,43,1,9.2%,24.2%,0.187,0.328,0.462,0.334,102
13,Freddy,Galvis,32,116,5,12,16,0,6.0%,28.4%,0.234,0.284,0.411,0.293,76
14,Kyle,Farmer,97,197,9,22,27,4,5.1%,29.9%,0.23,0.279,0.41,0.289,73
15,Jose,Peraza,141,403,6,37,33,7,4.2%,14.4%,0.239,0.285,0.346,0.272,62
